utterance_1,utterance_2,utterance_3,utterance_4,label,original
"[2, 1597, 6176, 2950, 6140, 5904, 3, 5]","[2, 5470, 6853, 7787, 7660, 3, 2059, 2932, 1165, 2562, 2925, 3, 5]","[2, 6881, 2922, 5447, 3, 1792, 3819, 3254, 2972, 2977, 2978, 3160, 2933, 3, 5549, 3165, 5448, 3, 5]","[2, 5458, 5718, 6967, 6356, 2960, 3, 2059, 5570, 3097, 5718, 221, 3017, 5680, 1797, 2947, 5943, 3, 5]","[2, 7577, 2950, 1300, 2925, 3, 5]",안에서 밀어 [SEP] 
"[2, 5470, 6853, 7787, 7660, 3, 2059, 2932, 1165, 2562, 2925, 3, 5]","[2, 6881, 2922, 5447, 3, 1792, 3819, 3254, 2972, 2977, 2978, 3160, 2933, 3, 5549, 3165, 5448, 3, 5]","[2, 5458, 5718, 6967, 6356, 2960, 3, 2059, 5570, 3097, 5718, 221, 3017, 5680, 1797, 2947, 5943, 3, 5]","[2, 7577, 2950, 1300, 2925, 3, 5]","[2, 2162, 6778, 2921, 126, 3601, 5461, 2245, 5854, 3100, 1621, 2071, 4322, 3, 7004, 220, 3229, 2118, 326, 2944, 3, 5]",좀있다가 2층으로 짐 가져올 수 있엎 [SEP] 아아 ㅣ슴 전 공항 [SEP] 
"[2, 6881, 2922, 5447, 3, 1792, 3819, 3254, 2972, 2977, 2978, 3160, 2933, 3, 5549, 3165, 5448, 3, 5]","[2, 5458, 5718, 6967, 6356, 2960, 3, 2059, 5570, 3097, 5718, 221, 3017, 5680, 1797, 2947, 5943, 3, 5]","[2, 7577, 2950, 1300, 2925, 3, 5]","[2, 2162, 6778, 2921, 126, 3601, 5461, 2245, 5854, 3100, 1621, 2071, 4322, 3, 7004, 220, 3229, 2118, 326, 2944, 3, 5]","[2, 5549, 1931, 5448, 3, 6, 3, 581, 2245, 5640, 5496, 2940, 2193, 3237, 2967, 235, 3077, 3038, 6845, 3082, 3, 5]",얼른 와ㅋㅋㅋ [SEP] 이의현 [SEP] 너 짐 계속 운동장 중앙에 갖다놓으려고해 [SEP] 
"[2, 5458, 5718, 6967, 6356, 2960, 3, 2059, 5570, 3097, 5718, 221, 3017, 5680, 1797, 2947, 5943, 3, 5]","[2, 7577, 2950, 1300, 2925, 3, 5]","[2, 2162, 6778, 2921, 126, 3601, 5461, 2245, 5854, 3100, 1621, 2071, 4322, 3, 7004, 220, 3229, 2118, 326, 2944, 3, 5]","[2, 5549, 1931, 5448, 3, 6, 3, 581, 2245, 5640, 5496, 2940, 2193, 3237, 2967, 235, 3077, 3038, 6845, 3082, 3, 5]","[2, 2183, 7300, 2960, 5464, 3, 5]",죽인다고 그래 [SEP] 
"[2, 7577, 2950, 1300, 2925, 3, 5]","[2, 2162, 6778, 2921, 126, 3601, 5461, 2245, 5854, 3100, 1621, 2071, 4322, 3, 7004, 220, 3229, 2118, 326, 2944, 3, 5]","[2, 5549, 1931, 5448, 3, 6, 3, 581, 2245, 5640, 5496, 2940, 2193, 3237, 2967, 235, 3077, 3038, 6845, 3082, 3, 5]","[2, 2183, 7300, 2960, 5464, 3, 5]","[2, 1169, 6060, 935, 6535, 3147, 3, 6, 6526, 935, 6535, 5586, 3, 7581, 5977, 2957, 3, 5]",말하니까 또 지랄함 [SEP] 익현이가 또 지랄하는데 [SEP] 어떡할까요 [SEP] 
"[2, 2162, 6778, 2921, 126, 3601, 5461, 2245, 5854, 3100, 1621, 2071, 4322, 3, 7004, 220, 3229, 2118, 326, 2944, 3, 5]","[2, 5549, 1931, 5448, 3, 6, 3, 581, 2245, 5640, 5496, 2940, 2193, 3237, 2967, 235, 3077, 3038, 6845, 3082, 3, 5]","[2, 2183, 7300, 2960, 5464, 3, 5]","[2, 1169, 6060, 935, 6535, 3147, 3, 6, 6526, 935, 6535, 5586, 3, 7581, 5977, 2957, 3, 5]","[2, 6521, 5448, 3, 5]",귀여웤ㅋㅋㅋㅋ [SEP] 
"[2, 5549, 1931, 5448, 3, 6, 3, 581, 2245, 5640, 5496, 2940, 2193, 3237, 2967, 235, 3077, 3038, 6845, 3082, 3, 5]","[2, 2183, 7300, 2960, 5464, 3, 5]","[2, 1169, 6060, 935, 6535, 3147, 3, 6, 6526, 935, 6535, 5586, 3, 7581, 5977, 2957, 3, 5]","[2, 6521, 5448, 3, 5]","[2, 5458, 2162, 6532, 3, 5]",내가 좀 그렇지 [SEP] 
"[2, 2183, 7300, 2960, 5464, 3, 5]","[2, 1169, 6060, 935, 6535, 3147, 3, 6, 6526, 935, 6535, 5586, 3, 7581, 5977, 2957, 3, 5]","[2, 6521, 5448, 3, 5]","[2, 5458, 2162, 6532, 3, 5]","[2, 5464, 7652, 5626, 3, 5]",그래 그렇다고 하자 [SEP] 
"[2, 1169, 6060, 935, 6535, 3147, 3, 6, 6526, 935, 6535, 5586, 3, 7581, 5977, 2957, 3, 5]","[2, 6521, 5448, 3, 5]","[2, 5458, 2162, 6532, 3, 5]","[2, 5464, 7652, 5626, 3, 5]","[2, 1792, 7055, 3, 7275, 2925, 5495, 1795, 5900, 3, 5]",아 집가고싶다 [SEP] 아이디어 생각 안난다 [SEP] 
"[2, 6521, 5448, 3, 5]","[2, 5458, 2162, 6532, 3, 5]","[2, 5464, 7652, 5626, 3, 5]","[2, 1792, 7055, 3, 7275, 2925, 5495, 1795, 5900, 3, 5]","[2, 5462, 1267, 5810, 134, 3, 5]",근데 뭐 만들어? [SEP] 
"[2, 5458, 2162, 6532, 3, 5]","[2, 5464, 7652, 5626, 3, 5]","[2, 1792, 7055, 3, 7275, 2925, 5495, 1795, 5900, 3, 5]","[2, 5462, 1267, 5810, 134, 3, 5]","[2, 153, 3170, 3123, 5713, 5453, 123, 123, 3, 151, 7414, 221, 3103, 1549, 3211, 3329, 3365, 1401, 3367, 1307, 2118, 3268, 1907, 4090, 3, 5630, 2975, 1317, 3955, 3161, 7622, 2970, 1976, 2979, 5887, 6088, 3, 5]",KDN 나가는거.. [SEP] IOT 가정 생활패턴 분석 및 전력 예측 [SEP] 이상치 발견시 알림이 울리거나 하는거 [SEP] 
"[2, 5464, 7652, 5626, 3, 5]","[2, 1792, 7055, 3, 7275, 2925, 5495, 1795, 5900, 3, 5]","[2, 5462, 1267, 5810, 134, 3, 5]","[2, 153, 3170, 3123, 5713, 5453, 123, 123, 3, 151, 7414, 221, 3103, 1549, 3211, 3329, 3365, 1401, 3367, 1307, 2118, 3268, 1907, 4090, 3, 5630, 2975, 1317, 3955, 3161, 7622, 2970, 1976, 2979, 5887, 6088, 3, 5]","[2, 6879, 5669, 3201, 3, 5]",신기하네뎅 [SEP] 
"[2, 1792, 7055, 3, 7275, 2925, 5495, 1795, 5900, 3, 5]","[2, 5462, 1267, 5810, 134, 3, 5]","[2, 153, 3170, 3123, 5713, 5453, 123, 123, 3, 151, 7414, 221, 3103, 1549, 3211, 3329, 3365, 1401, 3367, 1307, 2118, 3268, 1907, 4090, 3, 5630, 2975, 1317, 3955, 3161, 7622, 2970, 1976, 2979, 5887, 6088, 3, 5]","[2, 6879, 5669, 3201, 3, 5]","[2, 1792, 6113, 3, 7605, 2691, 2990, 3290, 3687, 3005, 241, 3358, 3361, 6917, 3, 5]",아 어떡하지 [SEP] GSM 페스티벌도 개파탄인듯 [SEP] 
"[2, 5462, 1267, 5810, 134, 3, 5]","[2, 153, 3170, 3123, 5713, 5453, 123, 123, 3, 151, 7414, 221, 3103, 1549, 3211, 3329, 3365, 1401, 3367, 1307, 2118, 3268, 1907, 4090, 3, 5630, 2975, 1317, 3955, 3161, 7622, 2970, 1976, 2979, 5887, 6088, 3, 5]","[2, 6879, 5669, 3201, 3, 5]","[2, 1792, 6113, 3, 7605, 2691, 2990, 3290, 3687, 3005, 241, 3358, 3361, 6917, 3, 5]","[2, 7348, 5652, 3023, 3, 6, 6454, 3, 581, 5695, 1795, 3103, 3082, 3247, 2963, 5450, 5555, 134, 3, 5]",누구랑 하는디 [SEP] 나연이랑 [SEP] 너밖에 안정해진거 아니었어? [SEP] 
"[2, 153, 3170, 3123, 5713, 5453, 123, 123, 3, 151, 7414, 221, 3103, 1549, 3211, 3329, 3365, 1401, 3367, 1307, 2118, 3268, 1907, 4090, 3, 5630, 2975, 1317, 3955, 3161, 7622, 2970, 1976, 2979, 5887, 6088, 3, 5]","[2, 6879, 5669, 3201, 3, 5]","[2, 1792, 6113, 3, 7605, 2691, 2990, 3290, 3687, 3005, 241, 3358, 3361, 6917, 3, 5]","[2, 7348, 5652, 3023, 3, 6, 6454, 3, 581, 5695, 1795, 3103, 3082, 3247, 2963, 5450, 5555, 134, 3, 5]","[2, 6335, 2652, 3361, 5526, 3, 2764, 2985, 3090, 2925, 2947, 5778, 6490, 3003, 3, 5]",그니까 파탄이지 [SEP] 하드웨어는 누구 해야되냐 [SEP] 
"[2, 6879, 5669, 3201, 3, 5]","[2, 1792, 6113, 3, 7605, 2691, 2990, 3290, 3687, 3005, 241, 3358, 3361, 6917, 3, 5]","[2, 7348, 5652, 3023, 3, 6, 6454, 3, 581, 5695, 1795, 3103, 3082, 3247, 2963, 5450, 5555, 134, 3, 5]","[2, 6335, 2652, 3361, 5526, 3, 2764, 2985, 3090, 2925, 2947, 5778, 6490, 3003, 3, 5]","[2, 5973, 724, 3637, 2987, 3, 5]",미안 닥칠게 [SEP] 
"[2, 1792, 6113, 3, 7605, 2691, 2990, 3290, 3687, 3005, 241, 3358, 3361, 6917, 3, 5]","[2, 7348, 5652, 3023, 3, 6, 6454, 3, 581, 5695, 1795, 3103, 3082, 3247, 2963, 5450, 5555, 134, 3, 5]","[2, 6335, 2652, 3361, 5526, 3, 2764, 2985, 3090, 2925, 2947, 5778, 6490, 3003, 3, 5]","[2, 5973, 724, 3637, 2987, 3, 5]","[2, 1706, 3049, 6142, 123, 123, 123, 134, 3, 6884, 2852, 3040, 6796, 5919, 3, 5]",싸우자고...? [SEP] 오면 환영하긴 할게 [SEP] 
"[2, 7348, 5652, 3023, 3, 6, 6454, 3, 581, 5695, 1795, 3103, 3082, 3247, 2963, 5450, 5555, 134, 3, 5]","[2, 6335, 2652, 3361, 5526, 3, 2764, 2985, 3090, 2925, 2947, 5778, 6490, 3003, 3, 5]","[2, 5973, 724, 3637, 2987, 3, 5]","[2, 1706, 3049, 6142, 123, 123, 123, 134, 3, 6884, 2852, 3040, 6796, 5919, 3, 5]","[2, 2769, 3226, 6412, 2963, 6055, 3, 5522, 1451, 3253, 3, 5483, 3216, 2235, 3896, 5608, 536, 3261, 3, 581, 4130, 3216, 5469, 1573, 3371, 2970, 779, 2930, 7331, 3, 268, 3080, 2970, 2157, 5469, 2095, 3040, 2970, 779, 2930, 7331, 3, 1128, 2946, 3074, 2970, 6, 779, 2930, 5655, 3, 5470, 413, 3228, 3656, 5751, 544, 2924, 2960, 3, 5483, 3216, 2947, 1128, 2946, 3074, 2970, 2235, 1171, 5608, 3, 5]",할줄 아는거 없어서 [SEP] 존나 빡쳐 [SEP] 우리조 지맘대로 나감 [SEP] 너희조에서 성범이 데려가고 [SEP] 건은이 조에서 재영이 데려가고 [SEP] 류나경이 차명준 데려가서 [SEP] 지금 김상현 혼자 남았고 [SEP] 우리조는 류나경이 지 맘대로 [SEP] 
"[2, 6335, 2652, 3361, 5526, 3, 2764, 2985, 3090, 2925, 2947, 5778, 6490, 3003, 3, 5]","[2, 5973, 724, 3637, 2987, 3, 5]","[2, 1706, 3049, 6142, 123, 123, 123, 134, 3, 6884, 2852, 3040, 6796, 5919, 3, 5]","[2, 2769, 3226, 6412, 2963, 6055, 3, 5522, 1451, 3253, 3, 5483, 3216, 2235, 3896, 5608, 536, 3261, 3, 581, 4130, 3216, 5469, 1573, 3371, 2970, 779, 2930, 7331, 3, 268, 3080, 2970, 2157, 5469, 2095, 3040, 2970, 779, 2930, 7331, 3, 1128, 2946, 3074, 2970, 6, 779, 2930, 5655, 3, 5470, 413, 3228, 3656, 5751, 544, 2924, 2960, 3, 5483, 3216, 2947, 1128, 2946, 3074, 2970, 2235, 1171, 5608, 3, 5]","[2, 1268, 3228, 3588, 5476, 3, 5]",뭔상황이야 [SEP] 
"[2, 5973, 724, 3637, 2987, 3, 5]","[2, 1706, 3049, 6142, 123, 123, 123, 134, 3, 6884, 2852, 3040, 6796, 5919, 3, 5]","[2, 2769, 3226, 6412, 2963, 6055, 3, 5522, 1451, 3253, 3, 5483, 3216, 2235, 3896, 5608, 536, 3261, 3, 581, 4130, 3216, 5469, 1573, 3371, 2970, 779, 2930, 7331, 3, 268, 3080, 2970, 2157, 5469, 2095, 3040, 2970, 779, 2930, 7331, 3, 1128, 2946, 3074, 2970, 6, 779, 2930, 5655, 3, 5470, 413, 3228, 3656, 5751, 544, 2924, 2960, 3, 5483, 3216, 2947, 1128, 2946, 3074, 2970, 2235, 1171, 5608, 3, 5]","[2, 1268, 3228, 3588, 5476, 3, 5]","[2, 1169, 2767, 2977, 3023, 7528, 7040, 3, 5950, 6, 6443, 7844, 3, 5]",말 한마디 없이 나가서 [SEP] 나랑 손우진 개빡쳤어 [SEP] 
"[2, 1706, 3049, 6142, 123, 123, 123, 134, 3, 6884, 2852, 3040, 6796, 5919, 3, 5]","[2, 2769, 3226, 6412, 2963, 6055, 3, 5522, 1451, 3253, 3, 5483, 3216, 2235, 3896, 5608, 536, 3261, 3, 581, 4130, 3216, 5469, 1573, 3371, 2970, 779, 2930, 7331, 3, 268, 3080, 2970, 2157, 5469, 2095, 3040, 2970, 779, 2930, 7331, 3, 1128, 2946, 3074, 2970, 6, 779, 2930, 5655, 3, 5470, 413, 3228, 3656, 5751, 544, 2924, 2960, 3, 5483, 3216, 2947, 1128, 2946, 3074, 2970, 2235, 1171, 5608, 3, 5]","[2, 1268, 3228, 3588, 5476, 3, 5]","[2, 1169, 2767, 2977, 3023, 7528, 7040, 3, 5950, 6, 6443, 7844, 3, 5]","[2, 1535, 3406, 7099, 3074, 3049, 2988, 3, 5]",상식없는경우죠 [SEP] 
"[2, 2769, 3226, 6412, 2963, 6055, 3, 5522, 1451, 3253, 3, 5483, 3216, 2235, 3896, 5608, 536, 3261, 3, 581, 4130, 3216, 5469, 1573, 3371, 2970, 779, 2930, 7331, 3, 268, 3080, 2970, 2157, 5469, 2095, 3040, 2970, 779, 2930, 7331, 3, 1128, 2946, 3074, 2970, 6, 779, 2930, 5655, 3, 5470, 413, 3228, 3656, 5751, 544, 2924, 2960, 3, 5483, 3216, 2947, 1128, 2946, 3074, 2970, 2235, 1171, 5608, 3, 5]","[2, 1268, 3228, 3588, 5476, 3, 5]","[2, 1169, 2767, 2977, 3023, 7528, 7040, 3, 5950, 6, 6443, 7844, 3, 5]","[2, 1535, 3406, 7099, 3074, 3049, 2988, 3, 5]","[2, 2059, 408, 3180, 2967, 1267, 5885, 3223, 1815, 6509, 779, 2930, 3151, 6142, 3, 5522, 7734, 5816, 3, 5950, 536, 3074, 5826, 6, 2059, 5515, 3, 5613, 2648, 5715, 2960, 5710, 3, 2235, 1171, 5608, 2059, 3342, 5713, 6248, 3, 5]",이 기회에 뭐 개발과 애 한명 데려오자고 [SEP] 존나 어이없자나 [SEP] 나랑 나경이가 우진이한테 [SEP] 같이 팀하자고 했는데 [SEP] 지 맘대로 이케 나가버림 [SEP] 
"[2, 1268, 3228, 3588, 5476, 3, 5]","[2, 1169, 2767, 2977, 3023, 7528, 7040, 3, 5950, 6, 6443, 7844, 3, 5]","[2, 1535, 3406, 7099, 3074, 3049, 2988, 3, 5]","[2, 2059, 408, 3180, 2967, 1267, 5885, 3223, 1815, 6509, 779, 2930, 3151, 6142, 3, 5522, 7734, 5816, 3, 5950, 536, 3074, 5826, 6, 2059, 5515, 3, 5613, 2648, 5715, 2960, 5710, 3, 2235, 1171, 5608, 2059, 3342, 5713, 6248, 3, 5]","[2, 5462, 6073, 2921, 5713, 2947, 4830, 3117, 3, 5]",근데 자기가 나가는겈ㄴ [SEP] 
"[2, 1169, 2767, 2977, 3023, 7528, 7040, 3, 5950, 6, 6443, 7844, 3, 5]","[2, 1535, 3406, 7099, 3074, 3049, 2988, 3, 5]","[2, 2059, 408, 3180, 2967, 1267, 5885, 3223, 1815, 6509, 779, 2930, 3151, 6142, 3, 5522, 7734, 5816, 3, 5950, 536, 3074, 5826, 6, 2059, 5515, 3, 5613, 2648, 5715, 2960, 5710, 3, 2235, 1171, 5608, 2059, 3342, 5713, 6248, 3, 5]","[2, 5462, 6073, 2921, 5713, 2947, 4830, 3117, 3, 5]","[2, 6, 6454, 6, 7442, 6225, 3, 5458, 1383, 2950, 3, 1451, 3253, 3114, 5730, 3, 5520, 2850, 3103, 3080, 5450, 3072, 3, 2850, 7178, 5450, 3013, 3, 1169, 3080, 6490, 5453, 3, 5522, 1451, 3253, 3114, 3125, 5738, 3, 5]",우진이랑 의현이는 뭔데 [SEP] 내가 봐서 [SEP] 빡쳐있으니까 [SEP] 아직 확정은 아니래 [SEP] 확정이 아니든 [SEP] 말은 해야되는거 [SEP] 존나 빡쳐있었더니 [SEP] 
"[2, 1535, 3406, 7099, 3074, 3049, 2988, 3, 5]","[2, 2059, 408, 3180, 2967, 1267, 5885, 3223, 1815, 6509, 779, 2930, 3151, 6142, 3, 5522, 7734, 5816, 3, 5950, 536, 3074, 5826, 6, 2059, 5515, 3, 5613, 2648, 5715, 2960, 5710, 3, 2235, 1171, 5608, 2059, 3342, 5713, 6248, 3, 5]","[2, 5462, 6073, 2921, 5713, 2947, 4830, 3117, 3, 5]","[2, 6, 6454, 6, 7442, 6225, 3, 5458, 1383, 2950, 3, 1451, 3253, 3114, 5730, 3, 5520, 2850, 3103, 3080, 5450, 3072, 3, 2850, 7178, 5450, 3013, 3, 1169, 3080, 6490, 5453, 3, 5522, 1451, 3253, 3114, 3125, 5738, 3, 5]","[2, 261, 2947, 2169, 2987, 1372, 5552, 6068, 3, 7785, 6073, 3244, 2578, 2991, 7494, 3, 626, 2932, 3190, 3173, 3080, 1944, 134, 3, 5]",걔는 좋게 보려고 해도 [SEP] 지가 자기를 터트리네 [SEP] 노지형ㅇ은 왜? [SEP] 
"[2, 2059, 408, 3180, 2967, 1267, 5885, 3223, 1815, 6509, 779, 2930, 3151, 6142, 3, 5522, 7734, 5816, 3, 5950, 536, 3074, 5826, 6, 2059, 5515, 3, 5613, 2648, 5715, 2960, 5710, 3, 2235, 1171, 5608, 2059, 3342, 5713, 6248, 3, 5]","[2, 5462, 6073, 2921, 5713, 2947, 4830, 3117, 3, 5]","[2, 6, 6454, 6, 7442, 6225, 3, 5458, 1383, 2950, 3, 1451, 3253, 3114, 5730, 3, 5520, 2850, 3103, 3080, 5450, 3072, 3, 2850, 7178, 5450, 3013, 3, 1169, 3080, 6490, 5453, 3, 5522, 1451, 3253, 3114, 3125, 5738, 3, 5]","[2, 261, 2947, 2169, 2987, 1372, 5552, 6068, 3, 7785, 6073, 3244, 2578, 2991, 7494, 3, 626, 2932, 3190, 3173, 3080, 1944, 134, 3, 5]","[2, 626, 2932, 3190, 227, 2938, 6055, 3, 1128, 2946, 3074, 5524, 6, 6454, 3, 2648, 186, 2946, 7593, 3, 723, 1451, 3253, 6610, 3, 626, 2932, 3190, 2970, 6259, 3, 2850, 3103, 5742, 2936, 3, 5520, 1295, 7178, 2931, 3, 1782, 3144, 1295, 3103, 5489, 3, 5823, 2235, 6895, 3, 5736, 2967, 2648, 1725, 3038, 5707, 3, 536, 5522, 7781, 2578, 3673, 3173, 3, 5]",노지형 갈데 없어서 [SEP] 류나경이랑 차명준이랑 [SEP] 팀 ㅁ나들고 [SEP] 다 빡쳐있는데 [SEP] 노지형이 와서 [SEP] 확정아니라 [SEP] 아직 미정이야 [SEP] 씨발 미정인데 [SEP] 이름 지우고 [SEP] 거기에 팀 써놓냐고 [SEP] 나 존나 어이 터엍ㅇ [SEP] 
"[2, 5462, 6073, 2921, 5713, 2947, 4830, 3117, 3, 5]","[2, 6, 6454, 6, 7442, 6225, 3, 5458, 1383, 2950, 3, 1451, 3253, 3114, 5730, 3, 5520, 2850, 3103, 3080, 5450, 3072, 3, 2850, 7178, 5450, 3013, 3, 1169, 3080, 6490, 5453, 3, 5522, 1451, 3253, 3114, 3125, 5738, 3, 5]","[2, 261, 2947, 2169, 2987, 1372, 5552, 6068, 3, 7785, 6073, 3244, 2578, 2991, 7494, 3, 626, 2932, 3190, 3173, 3080, 1944, 134, 3, 5]","[2, 626, 2932, 3190, 227, 2938, 6055, 3, 1128, 2946, 3074, 5524, 6, 6454, 3, 2648, 186, 2946, 7593, 3, 723, 1451, 3253, 6610, 3, 626, 2932, 3190, 2970, 6259, 3, 2850, 3103, 5742, 2936, 3, 5520, 1295, 7178, 2931, 3, 1782, 3144, 1295, 3103, 5489, 3, 5823, 2235, 6895, 3, 5736, 2967, 2648, 1725, 3038, 5707, 3, 536, 5522, 7781, 2578, 3673, 3173, 3, 5]","[2, 6377, 5638, 3, 5]",진정해 일단 [SEP] 
"[2, 6, 6454, 6, 7442, 6225, 3, 5458, 1383, 2950, 3, 1451, 3253, 3114, 5730, 3, 5520, 2850, 3103, 3080, 5450, 3072, 3, 2850, 7178, 5450, 3013, 3, 1169, 3080, 6490, 5453, 3, 5522, 1451, 3253, 3114, 3125, 5738, 3, 5]","[2, 261, 2947, 2169, 2987, 1372, 5552, 6068, 3, 7785, 6073, 3244, 2578, 2991, 7494, 3, 626, 2932, 3190, 3173, 3080, 1944, 134, 3, 5]","[2, 626, 2932, 3190, 227, 2938, 6055, 3, 1128, 2946, 3074, 5524, 6, 6454, 3, 2648, 186, 2946, 7593, 3, 723, 1451, 3253, 6610, 3, 626, 2932, 3190, 2970, 6259, 3, 2850, 3103, 5742, 2936, 3, 5520, 1295, 7178, 2931, 3, 1782, 3144, 1295, 3103, 5489, 3, 5823, 2235, 6895, 3, 5736, 2967, 2648, 1725, 3038, 5707, 3, 536, 5522, 7781, 2578, 3673, 3173, 3, 5]","[2, 6377, 5638, 3, 5]","[2, 241, 7781, 1863, 5816, 2958, 3, 5]",개 어이 없자나ㅠ [SEP] 
"[2, 261, 2947, 2169, 2987, 1372, 5552, 6068, 3, 7785, 6073, 3244, 2578, 2991, 7494, 3, 626, 2932, 3190, 3173, 3080, 1944, 134, 3, 5]","[2, 626, 2932, 3190, 227, 2938, 6055, 3, 1128, 2946, 3074, 5524, 6, 6454, 3, 2648, 186, 2946, 7593, 3, 723, 1451, 3253, 6610, 3, 626, 2932, 3190, 2970, 6259, 3, 2850, 3103, 5742, 2936, 3, 5520, 1295, 7178, 2931, 3, 1782, 3144, 1295, 3103, 5489, 3, 5823, 2235, 6895, 3, 5736, 2967, 2648, 1725, 3038, 5707, 3, 536, 5522, 7781, 2578, 3673, 3173, 3, 5]","[2, 6377, 5638, 3, 5]","[2, 241, 7781, 1863, 5816, 2958, 3, 5]","[2, 1694, 3192, 4562, 1694, 3192, 4562, 3, 5]",심호흡 심호흡 [SEP] 
"[2, 626, 2932, 3190, 227, 2938, 6055, 3, 1128, 2946, 3074, 5524, 6, 6454, 3, 2648, 186, 2946, 7593, 3, 723, 1451, 3253, 6610, 3, 626, 2932, 3190, 2970, 6259, 3, 2850, 3103, 5742, 2936, 3, 5520, 1295, 7178, 2931, 3, 1782, 3144, 1295, 3103, 5489, 3, 5823, 2235, 6895, 3, 5736, 2967, 2648, 1725, 3038, 5707, 3, 536, 5522, 7781, 2578, 3673, 3173, 3, 5]","[2, 6377, 5638, 3, 5]","[2, 241, 7781, 1863, 5816, 2958, 3, 5]","[2, 1694, 3192, 4562, 1694, 3192, 4562, 3, 5]","[2, 192, 3043, 3173, 123, 123, 123, 3, 5]",ㅇㅅㅇ... [SEP] 
"[2, 6377, 5638, 3, 5]","[2, 241, 7781, 1863, 5816, 2958, 3, 5]","[2, 1694, 3192, 4562, 1694, 3192, 4562, 3, 5]","[2, 192, 3043, 3173, 123, 123, 123, 3, 5]","[2, 536, 3062, 5475, 5558, 1224, 3392, 3690, 2960, 1176, 3615, 4386, 3063, 3, 5]",나같으면 이미 멱살잡고 맞짱떴음 [SEP] 
"[2, 241, 7781, 1863, 5816, 2958, 3, 5]","[2, 1694, 3192, 4562, 1694, 3192, 4562, 3, 5]","[2, 192, 3043, 3173, 123, 123, 123, 3, 5]","[2, 536, 3062, 5475, 5558, 1224, 3392, 3690, 2960, 1176, 3615, 4386, 3063, 3, 5]","[2, 536, 6781, 5469, 629, 5516, 5779, 3, 5472, 6, 6454, 7612, 629, 5480, 3, 5950, 626, 2932, 3190, 5524, 3, 1128, 2946, 3074, 5524, 3, 6781, 7115, 5994, 3, 413, 2992, 3776, 1604, 3103, 3128, 2404, 2921, 3040, 2970, 5484, 3, 5462, 2116, 3373, 7695, 2781, 5749, 2976, 3, 6234, 5478, 2774, 5465, 3, 5452, 2769, 6223, 5779, 3, 5927, 3275, 5537, 3, 261, 5773, 3111, 1326, 1771, 6008, 5710, 3, 2608, 2943, 222, 1566, 3077, 3, 5]",나 우리반에서 놀 사람 없다 [SEP] 이제 우진이랑 둘이 놀거야 [SEP] 나랑 노지형이랑 [SEP] 류나경이랑 [SEP] 우리반 여자애들 [SEP] 김하얀 송정연 최가영이어서 [SEP] 근데 저따구로 해버리면 [SEP] 제가 어떻게 합니까 [SEP] 진짜 할 말이 없다 [SEP] 11월부터 [SEP] 걔들이랑 방 쓰기로 했는데 [SEP] 퇴사 각 선다 [SEP] 
"[2, 1694, 3192, 4562, 1694, 3192, 4562, 3, 5]","[2, 192, 3043, 3173, 123, 123, 123, 3, 5]","[2, 536, 3062, 5475, 5558, 1224, 3392, 3690, 2960, 1176, 3615, 4386, 3063, 3, 5]","[2, 536, 6781, 5469, 629, 5516, 5779, 3, 5472, 6, 6454, 7612, 629, 5480, 3, 5950, 626, 2932, 3190, 5524, 3, 1128, 2946, 3074, 5524, 3, 6781, 7115, 5994, 3, 413, 2992, 3776, 1604, 3103, 3128, 2404, 2921, 3040, 2970, 5484, 3, 5462, 2116, 3373, 7695, 2781, 5749, 2976, 3, 6234, 5478, 2774, 5465, 3, 5452, 2769, 6223, 5779, 3, 5927, 3275, 5537, 3, 261, 5773, 3111, 1326, 1771, 6008, 5710, 3, 2608, 2943, 222, 1566, 3077, 3, 5]","[2, 5462, 5957, 2128, 3082, 134, 3, 5605, 6750, 3, 5570, 2960, 123, 123, 123, 3, 5945, 6667, 6693, 6240, 5449, 3, 5485, 581, 4089, 5478, 6951, 2931, 134, 3, 5]",근데 벌써 정해? [SEP] 빨리 하네 [SEP] 아이고... [SEP] 우린 바꾸는것도 몰랐는데 [SEP] 그럼 너넨 어떻게 되는거야? [SEP] 
"[2, 192, 3043, 3173, 123, 123, 123, 3, 5]","[2, 536, 3062, 5475, 5558, 1224, 3392, 3690, 2960, 1176, 3615, 4386, 3063, 3, 5]","[2, 536, 6781, 5469, 629, 5516, 5779, 3, 5472, 6, 6454, 7612, 629, 5480, 3, 5950, 626, 2932, 3190, 5524, 3, 1128, 2946, 3074, 5524, 3, 6781, 7115, 5994, 3, 413, 2992, 3776, 1604, 3103, 3128, 2404, 2921, 3040, 2970, 5484, 3, 5462, 2116, 3373, 7695, 2781, 5749, 2976, 3, 6234, 5478, 2774, 5465, 3, 5452, 2769, 6223, 5779, 3, 5927, 3275, 5537, 3, 261, 5773, 3111, 1326, 1771, 6008, 5710, 3, 2608, 2943, 222, 1566, 3077, 3, 5]","[2, 5462, 5957, 2128, 3082, 134, 3, 5605, 6750, 3, 5570, 2960, 123, 123, 123, 3, 5945, 6667, 6693, 6240, 5449, 3, 5485, 581, 4089, 5478, 6951, 2931, 134, 3, 5]","[2, 5603, 123, 123, 123, 3, 5885, 3223, 5469, 6509, 779, 2930, 3165, 6865, 3, 5]",몰라... [SEP] 개발과에서 한명 데려와야징 [SEP] 
