utterance_1,utterance_2,utterance_3,utterance_4,label,original
"[2, 7669, 7747, 3, 1268, 5954, 5448, 3, 5]","[2, 1946, 3172, 1237, 2967, 2916, 2970, 6066, 3, 6395, 6529, 3, 5]","[2, 6122, 7805, 2995, 5526, 134, 3, 5868, 3, 2767, 2942, 6560, 5956, 221, 2954, 6312, 3, 5]","[2, 5657, 2967, 7809, 5457, 5518, 1725, 2950, 5468, 5723, 5976, 5500, 3, 5]","[2, 647, 2921, 229, 3016, 3239, 3141, 6055, 7503, 5691, 134, 3, 5]",뇌가 감당할수 없어서 그런걸수도? [SEP] 
"[2, 1946, 3172, 1237, 2967, 2916, 2970, 6066, 3, 6395, 6529, 3, 5]","[2, 6122, 7805, 2995, 5526, 134, 3, 5868, 3, 2767, 2942, 6560, 5956, 221, 2954, 6312, 3, 5]","[2, 5657, 2967, 7809, 5457, 5518, 1725, 2950, 5468, 5723, 5976, 5500, 3, 5]","[2, 647, 2921, 229, 3016, 3239, 3141, 6055, 7503, 5691, 134, 3, 5]","[2, 5531, 3244, 2067, 3080, 1535, 3179, 3261, 2970, 2473, 2950, 5567, 238, 5976, 5500, 3, 5]",친구를 잃은 상실감이 커서 그런거 같기도 하고 [SEP] 
"[2, 6122, 7805, 2995, 5526, 134, 3, 5868, 3, 2767, 2942, 6560, 5956, 221, 2954, 6312, 3, 5]","[2, 5657, 2967, 7809, 5457, 5518, 1725, 2950, 5468, 5723, 5976, 5500, 3, 5]","[2, 647, 2921, 229, 3016, 3239, 3141, 6055, 7503, 5691, 134, 3, 5]","[2, 5531, 3244, 2067, 3080, 1535, 3179, 3261, 2970, 2473, 2950, 5567, 238, 5976, 5500, 3, 5]","[2, 5539, 5688, 3048, 3, 388, 2118, 5537, 1863, 5791, 3481, 3, 5]",그건 아닌듯 [SEP] 그 전부터 없었다매 [SEP] 
"[2, 5657, 2967, 7809, 5457, 5518, 1725, 2950, 5468, 5723, 5976, 5500, 3, 5]","[2, 647, 2921, 229, 3016, 3239, 3141, 6055, 7503, 5691, 134, 3, 5]","[2, 5531, 3244, 2067, 3080, 1535, 3179, 3261, 2970, 2473, 2950, 5567, 238, 5976, 5500, 3, 5]","[2, 5539, 5688, 3048, 3, 388, 2118, 5537, 1863, 5791, 3481, 3, 5]","[2, 5531, 2067, 3125, 6826, 3, 5]",친구 잃었는디 [SEP] 
"[2, 647, 2921, 229, 3016, 3239, 3141, 6055, 7503, 5691, 134, 3, 5]","[2, 5531, 3244, 2067, 3080, 1535, 3179, 3261, 2970, 2473, 2950, 5567, 238, 5976, 5500, 3, 5]","[2, 5539, 5688, 3048, 3, 388, 2118, 5537, 1863, 5791, 3481, 3, 5]","[2, 5531, 2067, 3125, 6826, 3, 5]","[2, 5531, 5766, 5641, 5448, 3, 2916, 6685, 6000, 3, 388, 2118, 5537, 408, 3268, 1863, 5791, 3481, 5448, 3, 5]",친구 말고 시발ㅋㅋㅋㅋㅋ [SEP] 힘 새끼야ㅋㅋㅋㅋ [SEP] 그 전부터 기력 없었다매ㅋㅋㅋ [SEP] 
"[2, 5531, 3244, 2067, 3080, 1535, 3179, 3261, 2970, 2473, 2950, 5567, 238, 5976, 5500, 3, 5]","[2, 5539, 5688, 3048, 3, 388, 2118, 5537, 1863, 5791, 3481, 3, 5]","[2, 5531, 2067, 3125, 6826, 3, 5]","[2, 5531, 5766, 5641, 5448, 3, 2916, 6685, 6000, 3, 388, 2118, 5537, 408, 3268, 1863, 5791, 3481, 5448, 3, 5]","[2, 2916, 2970, 6013, 3, 5]",힘이 없음 [SEP] 
"[2, 5539, 5688, 3048, 3, 388, 2118, 5537, 1863, 5791, 3481, 3, 5]","[2, 5531, 2067, 3125, 6826, 3, 5]","[2, 5531, 5766, 5641, 5448, 3, 2916, 6685, 6000, 3, 388, 2118, 5537, 408, 3268, 1863, 5791, 3481, 5448, 3, 5]","[2, 2916, 2970, 6013, 3, 5]","[2, 388, 5855, 2947, 134, 3, 5]",그 전에는? [SEP] 
"[2, 5531, 2067, 3125, 6826, 3, 5]","[2, 5531, 5766, 5641, 5448, 3, 2916, 6685, 6000, 3, 388, 2118, 5537, 408, 3268, 1863, 5791, 3481, 5448, 3, 5]","[2, 2916, 2970, 6013, 3, 5]","[2, 388, 5855, 2947, 134, 3, 5]","[2, 1945, 7542, 3080, 5946, 3063, 3, 5462, 5470, 3063, 3, 7142, 2987, 723, 5647, 3063, 3, 5]",왠만큼은 있었음 [SEP] 근데 지금음 [SEP] 모든게 다 귀찮음 [SEP] 
"[2, 5531, 5766, 5641, 5448, 3, 2916, 6685, 6000, 3, 388, 2118, 5537, 408, 3268, 1863, 5791, 3481, 5448, 3, 5]","[2, 2916, 2970, 6013, 3, 5]","[2, 388, 5855, 2947, 134, 3, 5]","[2, 1945, 7542, 3080, 5946, 3063, 3, 5462, 5470, 3063, 3, 7142, 2987, 723, 5647, 3063, 3, 5]","[2, 5460, 5562, 5622, 3055, 5714, 5626, 3, 7286, 5518, 6038, 5496, 3506, 7259, 3, 5]",그냥 너가 문제인걸로 하자 [SEP] 맛난거 많이먹고 운동좀 하렴 [SEP] 
"[2, 2916, 2970, 6013, 3, 5]","[2, 388, 5855, 2947, 134, 3, 5]","[2, 1945, 7542, 3080, 5946, 3063, 3, 5462, 5470, 3063, 3, 7142, 2987, 723, 5647, 3063, 3, 5]","[2, 5460, 5562, 5622, 3055, 5714, 5626, 3, 7286, 5518, 6038, 5496, 3506, 7259, 3, 5]","[2, 5482, 7509, 1169, 5628, 3, 584, 5496, 3506, 7601, 3, 5]",그거 아빠가 말한거 [SEP] 넌 운동좀 해야돼 [SEP] 
"[2, 388, 5855, 2947, 134, 3, 5]","[2, 1945, 7542, 3080, 5946, 3063, 3, 5462, 5470, 3063, 3, 7142, 2987, 723, 5647, 3063, 3, 5]","[2, 5460, 5562, 5622, 3055, 5714, 5626, 3, 7286, 5518, 6038, 5496, 3506, 7259, 3, 5]","[2, 5482, 7509, 1169, 5628, 3, 584, 5496, 3506, 7601, 3, 5]","[2, 5496, 5966, 3, 5]",운동해ㅋㅋㅋ [SEP] 
"[2, 1945, 7542, 3080, 5946, 3063, 3, 5462, 5470, 3063, 3, 7142, 2987, 723, 5647, 3063, 3, 5]","[2, 5460, 5562, 5622, 3055, 5714, 5626, 3, 7286, 5518, 6038, 5496, 3506, 7259, 3, 5]","[2, 5482, 7509, 1169, 5628, 3, 584, 5496, 3506, 7601, 3, 5]","[2, 5496, 5966, 3, 5]","[2, 5450, 5522, 3, 6084, 2950, 5949, 6385, 3023, 3, 436, 5878, 6272, 3, 584, 5496, 3506, 2764, 3072, 3, 5]",아니 존나 [SEP] 피곤해서 죽어있는디 [SEP] 깨워서 밥먹고 [SEP] 넌 운동좀 하래 [SEP] 
"[2, 5460, 5562, 5622, 3055, 5714, 5626, 3, 7286, 5518, 6038, 5496, 3506, 7259, 3, 5]","[2, 5482, 7509, 1169, 5628, 3, 584, 5496, 3506, 7601, 3, 5]","[2, 5496, 5966, 3, 5]","[2, 5450, 5522, 3, 6084, 2950, 5949, 6385, 3023, 3, 436, 5878, 6272, 3, 584, 5496, 3506, 2764, 3072, 3, 5]","[2, 6564, 3, 5]",개웃기네ㅋㅋㅋㅋ [SEP] 
"[2, 5482, 7509, 1169, 5628, 3, 584, 5496, 3506, 7601, 3, 5]","[2, 5496, 5966, 3, 5]","[2, 5450, 5522, 3, 6084, 2950, 5949, 6385, 3023, 3, 436, 5878, 6272, 3, 584, 5496, 3506, 2764, 3072, 3, 5]","[2, 6564, 3, 5]","[2, 5573, 6745, 3244, 233, 5653, 2791, 5523, 3, 5]",어제 시내를 갔어야 했는게 [SEP] 
"[2, 5496, 5966, 3, 5]","[2, 5450, 5522, 3, 6084, 2950, 5949, 6385, 3023, 3, 436, 5878, 6272, 3, 584, 5496, 3506, 2764, 3072, 3, 5]","[2, 6564, 3, 5]","[2, 5573, 6745, 3244, 233, 5653, 2791, 5523, 3, 5]","[2, 5866, 6001, 1167, 2924, 5589, 134, 3, 5]",사람이 ㅈㄴ 많았겠지? [SEP] 
"[2, 5450, 5522, 3, 6084, 2950, 5949, 6385, 3023, 3, 436, 5878, 6272, 3, 584, 5496, 3506, 2764, 3072, 3, 5]","[2, 6564, 3, 5]","[2, 5573, 6745, 3244, 233, 5653, 2791, 5523, 3, 5]","[2, 5866, 6001, 1167, 2924, 5589, 134, 3, 5]","[2, 5573, 1239, 3542, 2932, 3, 6406, 2976, 227, 2936, 5646, 3, 1267, 1528, 2987, 5946, 6826, 3, 5]",어제 못갔지 [SEP] 만나면 갈라했는데 [SEP] 뭐 살게 있었는디 [SEP] 
"[2, 6564, 3, 5]","[2, 5573, 6745, 3244, 233, 5653, 2791, 5523, 3, 5]","[2, 5866, 6001, 1167, 2924, 5589, 134, 3, 5]","[2, 5573, 1239, 3542, 2932, 3, 6406, 2976, 227, 2936, 5646, 3, 1267, 1528, 2987, 5946, 6826, 3, 5]","[2, 6726, 7049, 2925, 3, 5]",어ㅐ그랬어 [SEP] 
"[2, 5573, 6745, 3244, 233, 5653, 2791, 5523, 3, 5]","[2, 5866, 6001, 1167, 2924, 5589, 134, 3, 5]","[2, 5573, 1239, 3542, 2932, 3, 6406, 2976, 227, 2936, 5646, 3, 1267, 1528, 2987, 5946, 6826, 3, 5]","[2, 6726, 7049, 2925, 3, 5]","[2, 5825, 2942, 6, 7442, 3, 6306, 2069, 5473, 3, 1944, 1907, 3481, 3244, 5678, 6056, 3, 218, 2934, 5772, 2925, 3198, 3068, 3173, 3, 5]",그때의 명준이는 [SEP] 미친놈 입니다 [SEP] 왜 예매를 안해가지고 [SEP] ㅡ아어ㅓ어르ㅡㅇ [SEP] 
"[2, 5866, 6001, 1167, 2924, 5589, 134, 3, 5]","[2, 5573, 1239, 3542, 2932, 3, 6406, 2976, 227, 2936, 5646, 3, 1267, 1528, 2987, 5946, 6826, 3, 5]","[2, 6726, 7049, 2925, 3, 5]","[2, 5825, 2942, 6, 7442, 3, 6306, 2069, 5473, 3, 1944, 1907, 3481, 3244, 5678, 6056, 3, 218, 2934, 5772, 2925, 3198, 3068, 3173, 3, 5]","[2, 935, 5942, 5447, 3, 5]",또라이ㅋㅋ [SEP] 
"[2, 5573, 1239, 3542, 2932, 3, 6406, 2976, 227, 2936, 5646, 3, 1267, 1528, 2987, 5946, 6826, 3, 5]","[2, 6726, 7049, 2925, 3, 5]","[2, 5825, 2942, 6, 7442, 3, 6306, 2069, 5473, 3, 1944, 1907, 3481, 3244, 5678, 6056, 3, 218, 2934, 5772, 2925, 3198, 3068, 3173, 3, 5]","[2, 935, 5942, 5447, 3, 5]","[2, 1944, 5853, 2932, 3, 5588, 6292, 3, 5641, 2970, 2963, 5561, 3077, 5511, 2059, 5954, 6475, 3, 5720, 125, 3530, 2996, 3553, 2932, 3, 1852, 3172, 6034, 2932, 3, 5491, 1239, 3212, 2928, 2976, 3, 6362, 2996, 1239, 2946, 3542, 3063, 3, 5]",왜 그랬지 [SEP] 공부하다가 [SEP] 시발이거 언제다하지 이생각 하다가 [SEP] 이걸 14일꺼지 [SEP] 어캐 끝내지 [SEP] 이거 못끝내면 [SEP] 15일 못나갔음 [SEP] 
"[2, 6726, 7049, 2925, 3, 5]","[2, 5825, 2942, 6, 7442, 3, 6306, 2069, 5473, 3, 1944, 1907, 3481, 3244, 5678, 6056, 3, 218, 2934, 5772, 2925, 3198, 3068, 3173, 3, 5]","[2, 935, 5942, 5447, 3, 5]","[2, 1944, 5853, 2932, 3, 5588, 6292, 3, 5641, 2970, 2963, 5561, 3077, 5511, 2059, 5954, 6475, 3, 5720, 125, 3530, 2996, 3553, 2932, 3, 1852, 3172, 6034, 2932, 3, 5491, 1239, 3212, 2928, 2976, 3, 6362, 2996, 1239, 2946, 3542, 3063, 3, 5]","[2, 5482, 229, 7801, 3005, 3, 5549, 2849, 3082, 2946, 2781, 3, 5]",그거 감안해도 [SEP] 얼른 화해나 해 [SEP] 
"[2, 5825, 2942, 6, 7442, 3, 6306, 2069, 5473, 3, 1944, 1907, 3481, 3244, 5678, 6056, 3, 218, 2934, 5772, 2925, 3198, 3068, 3173, 3, 5]","[2, 935, 5942, 5447, 3, 5]","[2, 1944, 5853, 2932, 3, 5588, 6292, 3, 5641, 2970, 2963, 5561, 3077, 5511, 2059, 5954, 6475, 3, 5720, 125, 3530, 2996, 3553, 2932, 3, 1852, 3172, 6034, 2932, 3, 5491, 1239, 3212, 2928, 2976, 3, 6362, 2996, 1239, 2946, 3542, 3063, 3, 5]","[2, 5482, 229, 7801, 3005, 3, 5549, 2849, 3082, 2946, 2781, 3, 5]","[2, 5459, 5500, 1704, 2932, 3, 5462, 7569, 5618, 1693, 3080, 3411, 7650, 3, 5]",나도 하고 싶지 [SEP] 근데 걔가 하기 싫은걸 어떡하냐 [SEP] 
"[2, 935, 5942, 5447, 3, 5]","[2, 1944, 5853, 2932, 3, 5588, 6292, 3, 5641, 2970, 2963, 5561, 3077, 5511, 2059, 5954, 6475, 3, 5720, 125, 3530, 2996, 3553, 2932, 3, 1852, 3172, 6034, 2932, 3, 5491, 1239, 3212, 2928, 2976, 3, 6362, 2996, 1239, 2946, 3542, 3063, 3, 5]","[2, 5482, 229, 7801, 3005, 3, 5549, 2849, 3082, 2946, 2781, 3, 5]","[2, 5459, 5500, 1704, 2932, 3, 5462, 7569, 5618, 1693, 3080, 3411, 7650, 3, 5]","[2, 5539, 5458, 7581, 3239, 6027, 6619, 123, 123, 123, 3, 5]",그건 내가 어떡할수가 없고... [SEP] 
"[2, 1944, 5853, 2932, 3, 5588, 6292, 3, 5641, 2970, 2963, 5561, 3077, 5511, 2059, 5954, 6475, 3, 5720, 125, 3530, 2996, 3553, 2932, 3, 1852, 3172, 6034, 2932, 3, 5491, 1239, 3212, 2928, 2976, 3, 6362, 2996, 1239, 2946, 3542, 3063, 3, 5]","[2, 5482, 229, 7801, 3005, 3, 5549, 2849, 3082, 2946, 2781, 3, 5]","[2, 5459, 5500, 1704, 2932, 3, 5462, 7569, 5618, 1693, 3080, 3411, 7650, 3, 5]","[2, 5539, 5458, 7581, 3239, 6027, 6619, 123, 123, 123, 3, 5]","[2, 2849, 3082, 2999, 6787, 3, 1200, 3013, 723, 6332, 3, 5]",화해만 되면 [SEP] 머든 다할듯 [SEP] 
"[2, 5482, 229, 7801, 3005, 3, 5549, 2849, 3082, 2946, 2781, 3, 5]","[2, 5459, 5500, 1704, 2932, 3, 5462, 7569, 5618, 1693, 3080, 3411, 7650, 3, 5]","[2, 5539, 5458, 7581, 3239, 6027, 6619, 123, 123, 123, 3, 5]","[2, 2849, 3082, 2999, 6787, 3, 1200, 3013, 723, 6332, 3, 5]","[2, 6042, 3134, 134, 3, 5452, 2849, 3326, 2946, 2954, 3160, 3, 6406, 2950, 6026, 5552, 2781, 7975, 134, 3, 5]",그정도임? [SEP] 진짜 화났나보네 [SEP] 만나서 뭐하려고 해ㅛ는데? [SEP] 
"[2, 5459, 5500, 1704, 2932, 3, 5462, 7569, 5618, 1693, 3080, 3411, 7650, 3, 5]","[2, 5539, 5458, 7581, 3239, 6027, 6619, 123, 123, 123, 3, 5]","[2, 2849, 3082, 2999, 6787, 3, 1200, 3013, 723, 6332, 3, 5]","[2, 6042, 3134, 134, 3, 5452, 2849, 3326, 2946, 2954, 3160, 3, 6406, 2950, 6026, 5552, 2781, 7975, 134, 3, 5]","[2, 629, 5552, 5710, 3, 1907, 3481, 2982, 5641, 2963, 3, 5]",놀려고 했는데 [SEP] 예매그 시발거 [SEP] 
"[2, 5539, 5458, 7581, 3239, 6027, 6619, 123, 123, 123, 3, 5]","[2, 2849, 3082, 2999, 6787, 3, 1200, 3013, 723, 6332, 3, 5]","[2, 6042, 3134, 134, 3, 5452, 2849, 3326, 2946, 2954, 3160, 3, 6406, 2950, 6026, 5552, 2781, 7975, 134, 3, 5]","[2, 629, 5552, 5710, 3, 1907, 3481, 2982, 5641, 2963, 3, 5]","[2, 5638, 7569, 5873, 1316, 5475, 5800, 2947, 2781, 5842, 3, 5]",일단 걔가 연락 받으면 얘기는 해볼게 [SEP] 
"[2, 2849, 3082, 2999, 6787, 3, 1200, 3013, 723, 6332, 3, 5]","[2, 6042, 3134, 134, 3, 5452, 2849, 3326, 2946, 2954, 3160, 3, 6406, 2950, 6026, 5552, 2781, 7975, 134, 3, 5]","[2, 629, 5552, 5710, 3, 1907, 3481, 2982, 5641, 2963, 3, 5]","[2, 5638, 7569, 5873, 1316, 5475, 5800, 2947, 2781, 5842, 3, 5]","[2, 7623, 123, 123, 123, 123, 3, 5]",알았어.... [SEP] 
"[2, 6042, 3134, 134, 3, 5452, 2849, 3326, 2946, 2954, 3160, 3, 6406, 2950, 6026, 5552, 2781, 7975, 134, 3, 5]","[2, 629, 5552, 5710, 3, 1907, 3481, 2982, 5641, 2963, 3, 5]","[2, 5638, 7569, 5873, 1316, 5475, 5800, 2947, 2781, 5842, 3, 5]","[2, 7623, 123, 123, 123, 123, 3, 5]","[2, 5543, 7354, 2926, 3757, 3, 5]",ㄹㅇ 개귀여움 [SEP] 
"[2, 629, 5552, 5710, 3, 1907, 3481, 2982, 5641, 2963, 3, 5]","[2, 5638, 7569, 5873, 1316, 5475, 5800, 2947, 2781, 5842, 3, 5]","[2, 7623, 123, 123, 123, 123, 3, 5]","[2, 5543, 7354, 2926, 3757, 3, 5]","[2, 6433, 2960, 3, 5]",생각해보고 [SEP] 
"[2, 5638, 7569, 5873, 1316, 5475, 5800, 2947, 2781, 5842, 3, 5]","[2, 7623, 123, 123, 123, 123, 3, 5]","[2, 5543, 7354, 2926, 3757, 3, 5]","[2, 6433, 2960, 3, 5]","[2, 7669, 5772, 3058, 3, 5]",사주어ㅓㅓ [SEP] 
"[2, 7623, 123, 123, 123, 123, 3, 5]","[2, 5543, 7354, 2926, 3757, 3, 5]","[2, 6433, 2960, 3, 5]","[2, 7669, 5772, 3058, 3, 5]","[2, 7669, 2976, 1267, 7791, 2989, 3023, 3, 5]",사주면 뭐 해줄건디 [SEP] 
"[2, 5543, 7354, 2926, 3757, 3, 5]","[2, 6433, 2960, 3, 5]","[2, 7669, 5772, 3058, 3, 5]","[2, 7669, 2976, 1267, 7791, 2989, 3023, 3, 5]","[2, 5543, 7354, 2926, 3757, 3, 567, 3093, 3102, 2972, 3058, 2934, 3079, 3079, 3060, 3381, 2980, 4696, 3148, 3057, 3042, 3072, 2936, 3060, 3104, 3241, 6164, 3, 5]",ㄹㅇ 개귀여움 [SEP] 냐더류ㅐㅓ아대대ㅏㅈ0앶8ㄹㄱ래라ㅏ제ㅣㅇㅇ [SEP] 
"[2, 6433, 2960, 3, 5]","[2, 7669, 5772, 3058, 3, 5]","[2, 7669, 2976, 1267, 7791, 2989, 3023, 3, 5]","[2, 5543, 7354, 2926, 3757, 3, 567, 3093, 3102, 2972, 3058, 2934, 3079, 3079, 3060, 3381, 2980, 4696, 3148, 3057, 3042, 3072, 2936, 3060, 3104, 3241, 6164, 3, 5]","[2, 7669, 2976, 1267, 7791, 2989, 3023, 3, 5]",사주면 뭐 해줄건디 [SEP] 
"[2, 7669, 5772, 3058, 3, 5]","[2, 7669, 2976, 1267, 7791, 2989, 3023, 3, 5]","[2, 5543, 7354, 2926, 3757, 3, 567, 3093, 3102, 2972, 3058, 2934, 3079, 3079, 3060, 3381, 2980, 4696, 3148, 3057, 3042, 3072, 2936, 3060, 3104, 3241, 6164, 3, 5]","[2, 7669, 2976, 1267, 7791, 2989, 3023, 3, 5]","[2, 1795, 3804, 7382, 5465, 3, 5676, 2933, 1216, 2979, 2991, 2931, 5544, 3, 241, 3299, 6201, 3, 5]",안깝친다니까 [SEP] 엄청난 메리트야 이게 [SEP] 개쩌는건데 [SEP] 
"[2, 7669, 2976, 1267, 7791, 2989, 3023, 3, 5]","[2, 5543, 7354, 2926, 3757, 3, 567, 3093, 3102, 2972, 3058, 2934, 3079, 3079, 3060, 3381, 2980, 4696, 3148, 3057, 3042, 3072, 2936, 3060, 3104, 3241, 6164, 3, 5]","[2, 7669, 2976, 1267, 7791, 2989, 3023, 3, 5]","[2, 1795, 3804, 7382, 5465, 3, 5676, 2933, 1216, 2979, 2991, 2931, 5544, 3, 241, 3299, 6201, 3, 5]","[2, 123, 123, 123, 123, 123, 3, 5470, 2942, 6, 7442, 5567, 2967, 7820, 2970, 1863, 5599, 3, 5]",..... [SEP] 지금의 명준이는 그런거에 관심이 없습니다 [SEP] 
"[2, 5543, 7354, 2926, 3757, 3, 567, 3093, 3102, 2972, 3058, 2934, 3079, 3079, 3060, 3381, 2980, 4696, 3148, 3057, 3042, 3072, 2936, 3060, 3104, 3241, 6164, 3, 5]","[2, 7669, 2976, 1267, 7791, 2989, 3023, 3, 5]","[2, 1795, 3804, 7382, 5465, 3, 5676, 2933, 1216, 2979, 2991, 2931, 5544, 3, 241, 3299, 6201, 3, 5]","[2, 123, 123, 123, 123, 123, 3, 5470, 2942, 6, 7442, 5567, 2967, 7820, 2970, 1863, 5599, 3, 5]","[2, 7286, 2946, 1525, 3002, 3, 5]",맛난거나 사줘 [SEP] 
"[2, 7669, 2976, 1267, 7791, 2989, 3023, 3, 5]","[2, 1795, 3804, 7382, 5465, 3, 5676, 2933, 1216, 2979, 2991, 2931, 5544, 3, 241, 3299, 6201, 3, 5]","[2, 123, 123, 123, 123, 123, 3, 5470, 2942, 6, 7442, 5567, 2967, 7820, 2970, 1863, 5599, 3, 5]","[2, 7286, 2946, 1525, 3002, 3, 5]","[2, 2849, 3082, 5487, 1525, 3700, 3, 5]",화해하면 사줌 [SEP] 
"[2, 1795, 3804, 7382, 5465, 3, 5676, 2933, 1216, 2979, 2991, 2931, 5544, 3, 241, 3299, 6201, 3, 5]","[2, 123, 123, 123, 123, 123, 3, 5470, 2942, 6, 7442, 5567, 2967, 7820, 2970, 1863, 5599, 3, 5]","[2, 7286, 2946, 1525, 3002, 3, 5]","[2, 2849, 3082, 5487, 1525, 3700, 3, 5]","[2, 6651, 123, 123, 123, 3, 1850, 5472, 555, 2599, 3005, 7710, 5571, 1378, 3, 5]",ㅇㅋ... [SEP] 얘 이제 내 톡도 하루에 한번 봄 [SEP] 
"[2, 123, 123, 123, 123, 123, 3, 5470, 2942, 6, 7442, 5567, 2967, 7820, 2970, 1863, 5599, 3, 5]","[2, 7286, 2946, 1525, 3002, 3, 5]","[2, 2849, 3082, 5487, 1525, 3700, 3, 5]","[2, 6651, 123, 123, 123, 3, 1850, 5472, 555, 2599, 3005, 7710, 5571, 1378, 3, 5]","[2, 2086, 6875, 5570, 5489, 3, 5]",잠 많은 아이인데 [SEP] 
"[2, 7286, 2946, 1525, 3002, 3, 5]","[2, 2849, 3082, 5487, 1525, 3700, 3, 5]","[2, 6651, 123, 123, 123, 3, 1850, 5472, 555, 2599, 3005, 7710, 5571, 1378, 3, 5]","[2, 2086, 6875, 5570, 5489, 3, 5]","[2, 126, 3530, 5503, 5724, 126, 3545, 5503, 2965, 2078, 2946, 3, 297, 3233, 3488, 6548, 3, 5]",24시간중에 23시간을 자나 [SEP] 겨울잠인줄 [SEP] 
"[2, 2849, 3082, 5487, 1525, 3700, 3, 5]","[2, 6651, 123, 123, 123, 3, 1850, 5472, 555, 2599, 3005, 7710, 5571, 1378, 3, 5]","[2, 2086, 6875, 5570, 5489, 3, 5]","[2, 126, 3530, 5503, 5724, 126, 3545, 5503, 2965, 2078, 2946, 3, 297, 3233, 3488, 6548, 3, 5]","[2, 1295, 3643, 2947, 6137, 2157, 2934, 3564, 1900, 2946, 3, 5]",미녀는 잠을 조아햐 였나 [SEP] 
"[2, 6651, 123, 123, 123, 3, 1850, 5472, 555, 2599, 3005, 7710, 5571, 1378, 3, 5]","[2, 2086, 6875, 5570, 5489, 3, 5]","[2, 126, 3530, 5503, 5724, 126, 3545, 5503, 2965, 2078, 2946, 3, 297, 3233, 3488, 6548, 3, 5]","[2, 1295, 3643, 2947, 6137, 2157, 2934, 3564, 1900, 2946, 3, 5]","[2, 7569, 1295, 3643, 3085, 3, 5543, 2828, 3317, 2945, 2960, 5790, 5540, 3147, 3, 5]",걔가 미녀명 [SEP] ㄹㅇ 혀깨물고 자살해야함 [SEP] 
"[2, 2086, 6875, 5570, 5489, 3, 5]","[2, 126, 3530, 5503, 5724, 126, 3545, 5503, 2965, 2078, 2946, 3, 297, 3233, 3488, 6548, 3, 5]","[2, 1295, 3643, 2947, 6137, 2157, 2934, 3564, 1900, 2946, 3, 5]","[2, 7569, 1295, 3643, 3085, 3, 5543, 2828, 3317, 2945, 2960, 5790, 5540, 3147, 3, 5]","[2, 1944, 388, 3660, 5448, 3, 5536, 1621, 797, 6032, 5448, 3, 5]",왜 그랙ㅋㅋㅋㅋㅋㅋㅋ [SEP] 그럴 수 도 있짘ㅋㅋㅋㅋㅋㅋ [SEP] 
"[2, 126, 3530, 5503, 5724, 126, 3545, 5503, 2965, 2078, 2946, 3, 297, 3233, 3488, 6548, 3, 5]","[2, 1295, 3643, 2947, 6137, 2157, 2934, 3564, 1900, 2946, 3, 5]","[2, 7569, 1295, 3643, 3085, 3, 5543, 2828, 3317, 2945, 2960, 5790, 5540, 3147, 3, 5]","[2, 1944, 388, 3660, 5448, 3, 5536, 1621, 797, 6032, 5448, 3, 5]","[2, 5539, 7554, 3, 5]",그건 아니다 [SEP] 
"[2, 1295, 3643, 2947, 6137, 2157, 2934, 3564, 1900, 2946, 3, 5]","[2, 7569, 1295, 3643, 3085, 3, 5543, 2828, 3317, 2945, 2960, 5790, 5540, 3147, 3, 5]","[2, 1944, 388, 3660, 5448, 3, 5536, 1621, 797, 6032, 5448, 3, 5]","[2, 5539, 7554, 3, 5]","[2, 7045, 6367, 2116, 3581, 5448, 3, 5536, 1621, 797, 2071, 3093, 5453, 4895, 7499, 3, 5]",반응 오ㅑ 저럌ㅋㅋㅋ [SEP] 그럴 수 도 있더는거짙ㅌㅋㅋㅋ [SEP] 
"[2, 7569, 1295, 3643, 3085, 3, 5543, 2828, 3317, 2945, 2960, 5790, 5540, 3147, 3, 5]","[2, 1944, 388, 3660, 5448, 3, 5536, 1621, 797, 6032, 5448, 3, 5]","[2, 5539, 7554, 3, 5]","[2, 7045, 6367, 2116, 3581, 5448, 3, 5536, 1621, 797, 2071, 3093, 5453, 4895, 7499, 3, 5]","[2, 5464, 123, 123, 123, 3, 5984, 3, 5793, 2925, 3, 5462, 539, 7029, 5826, 5986, 3134, 3, 1314, 3402, 3239, 3141, 3298, 2925, 3, 5]",그래... [SEP] 그럴수있지 [SEP] 그럴수있어 [SEP] 근데 난 하연이가 최고임 [SEP] 반박할수읎어 [SEP] 
"[2, 1944, 388, 3660, 5448, 3, 5536, 1621, 797, 6032, 5448, 3, 5]","[2, 5539, 7554, 3, 5]","[2, 7045, 6367, 2116, 3581, 5448, 3, 5536, 1621, 797, 2071, 3093, 5453, 4895, 7499, 3, 5]","[2, 5464, 123, 123, 123, 3, 5984, 3, 5793, 2925, 3, 5462, 539, 7029, 5826, 5986, 3134, 3, 1314, 3402, 3239, 3141, 3298, 2925, 3, 5]","[2, 2847, 2992, 3128, 2965, 1855, 3276, 5669, 3, 5]",홍하연을 언급하네 [SEP] 
"[2, 5539, 7554, 3, 5]","[2, 7045, 6367, 2116, 3581, 5448, 3, 5536, 1621, 797, 2071, 3093, 5453, 4895, 7499, 3, 5]","[2, 5464, 123, 123, 123, 3, 5984, 3, 5793, 2925, 3, 5462, 539, 7029, 5826, 5986, 3134, 3, 1314, 3402, 3239, 3141, 3298, 2925, 3, 5]","[2, 2847, 2992, 3128, 2965, 1855, 3276, 5669, 3, 5]","[2, 5570, 6387, 119, 3, 5]",아이좋아! [SEP] 
